208,   0.10474,   0.00047,   0.00521,   0.02891,   0.00047,   0.08578,   0.19479,   0.00995,   0.00047,   0.51232,   0.00047,   0.00047,   0.00047,   0.00521,   0.00047,   0.00047,   0.00047,   0.00047,   0.04787,   0.00047
303,   0.17788,   0.00088,   0.00088,   0.00088,   0.00088,   0.00088,   0.19558,   0.00088,   0.00088,   0.60265,   0.00088,   0.00088,   0.00088,   0.00088,   0.00088,   0.00088,   0.00088,   0.00973,   0.00088,   0.00088
688,   0.00143,   0.00143,   0.00143,   0.00143,   0.00143,   0.00143,   0.41571,   0.00143,   0.00143,   0.31571,   0.11571,   0.00143,   0.00143,   0.00143,   0.00143,   0.00143,   0.00143,   0.13000,   0.00143,   0.00143
708,   0.00625,   0.00625,   0.25625,   0.00625,   0.00625,   0.00625,   0.44375,   0.00625,   0.00625,   0.00625,   0.00625,   0.00625,   0.19375,   0.00625,   0.00625,   0.00625,   0.00625,   0.00625,   0.00625,   0.00625
  9,   0.40794,   0.00053,   0.01111,   0.00053,   0.00053,   0.00053,   0.23333,   0.00053,   0.00053,   0.17513,   0.14339,   0.02169,   0.00053,   0.00053,   0.00053,   0.00053,   0.00053,   0.00053,   0.00053,   0.00053
225,   0.00189,   0.00189,   0.00189,   0.00189,   0.32264,   0.00189,   0.09623,   0.07736,   0.00189,   0.43585,   0.00189,   0.03962,   0.00189,   0.00189,   0.00189,   0.00189,   0.00189,   0.00189,   0.00189,   0.00189
226,   0.00256,   0.00256,   0.00256,   0.00256,   0.23333,   0.00256,   0.31026,   0.00256,   0.00256,   0.38718,   0.00256,   0.00256,   0.00256,   0.00256,   0.00256,   0.00256,   0.00256,   0.00256,   0.00256,   0.02821
227,   0.00084,   0.00084,   0.00084,   0.00084,   0.11008,   0.11849,   0.00084,   0.00084,   0.00084,   0.45462,   0.00084,   0.12689,   0.16891,   0.00084,   0.00084,   0.00084,   0.00084,   0.00084,   0.00924,   0.00084
228,   0.00400,   0.00400,   0.00400,   0.00400,   0.72400,   0.00400,   0.00400,   0.00400,   0.00400,   0.20400,   0.00400,   0.00400,   0.00400,   0.00400,   0.00400,   0.00400,   0.00400,   0.00400,   0.00400,   0.00400
229,   0.00400,   0.00400,   0.00400,   0.00400,   0.68400,   0.00400,   0.00400,   0.00400,   0.00400,   0.24400,   0.00400,   0.00400,   0.00400,   0.00400,   0.00400,   0.00400,   0.00400,   0.00400,   0.00400,   0.00400
